,date,favorites,retweeted,retweets,screen_name,tweet,tweet_id,user_followers,user_verified
43,2015-09-30 14:43:52,0.0,0.0,0.0,rolyred,http://t.co/Qsr5QwVoQ9 Volkswagen braces for hit to business from emissions scandal: BERLIN (Reuters) - Volkswa... http://t.co/dw0g3SPaI7,6.492332047595192e+17,248.0,0.0
44,2015-09-30 14:46:16,0.0,0.0,0.0,richardprimm,#ATL Kempner: Four ways Volkswagen can say it's sorry - Kempner: Four ways Volkswagen can say it's sorry http://t.co/JpLOiDJbXA,6.49233809343443e+17,383.0,0.0
45,2015-09-30 14:45:04,0.0,0.0,0.0,NorbsOx,"@covtelegraph I expect @Volkswagen will find a way round it, though.",6.492335058813542e+17,411.0,0.0
46,2015-09-30 14:45:33,0.0,0.0,0.0,katherine_wolfe,Volkswagen emissions scandal: which UK cars are affected? http://t.co/kElWFFxMYd,6.492336268786033e+17,88.0,0.0
47,2015-09-30 14:44:37,0.0,0.0,0.0,mrwhitepatch,Volkswagen and Cheating Software http://t.co/CaVyBn1Whr,6.492333925385216e+17,1305.0,0.0
48,2015-09-30 14:43:27,0.0,0.0,0.0,WRCB,"Volkswagen drops one shift at German engine plant, imposes limited hiring freeze: A Volkswagen engine factory ... http://t.co/MiVl0DGHfJ",6.492330980187177e+17,105990.0,1.0
49,2015-09-30 14:45:52,0.0,0.0,0.0,onlineiggy,Volkswagen board member Olaf Lies admits ‘We were crooks’ over emissions test cheating http://t.co/d9d4ig3QUp,6.492337086086554e+17,381.0,0.0
,date,favorites,retweeted,retweets,screen_name,tweet,tweet_id,user_followers,user_verified
0,2015-09-30 14:39:37,0.0,0.0,0.0,SaraTomiolo,After all #Volkswagen might not the only cheater in #emission tests  https://t.co/iqIdUXiy0E,6.49232135476351e+17,417.0,0.0
1,2015-09-30 14:43:24,0.0,0.0,0.0,vividspirit,Volkswagen emissions scandal: what happens next for cars affected in UK?: VW is to recall 1.2m UK vehicles fit... http://t.co/OEgPorzjpT,6.492330840055276e+17,2022.0,0.0
2,2015-09-30 14:40:40,0.0,0.0,0.0,Kizz_News,Volkswagen braces for hit to business from emissions scandal - http://t.co/wU0vl2LQGA,6.492323976244797e+17,202.0,0.0
3,2015-09-30 14:39:46,0.0,0.0,0.0,WesternDaily,"VW emissions recall - full details of 1.2 million UK Volkswagen 'corrections'
Click here: http://t.co/LJCqiGpHPb",6.492321703771832e+17,11416.0,1.0
4,2015-09-30 14:41:41,0.0,0.0,0.0,jncorcoran1,How Volkswagen Just Squandered 55 Years of Great Advertising http://t.co/KZ9aE71HpO,6.492326536363622e+17,11417.0,0.0
5,2015-09-30 14:43:17,0.0,0.0,0.0,nakhon224,#Reuters Volkswagen braces for hit to business from emissions scandal http://t.co/cY40BZeoBl,6.492330578581914e+17,16867.0,0.0
6,2015-09-30 14:41:10,0.0,0.0,0.0,rajathdm,Volkswagen's best shot at a comeback now has the automaker right where Elon Musk wants it http://t.co/QCfqHPFSQC via @qz,6.492325241875702e+17,635.0,0.0
7,2015-09-30 14:40:08,0.0,0.0,0.0,ChrisAdamTweets,Volkswagen to refit cars affected by emissions scandal http://t.co/fHUy5N8coo,6.49232264845357e+17,3950.0,0.0
8,2015-09-30 14:39:40,0.0,0.0,0.0,Tumi_Manamela,"Shem, Trevor Noah had to dumb down his pronunciation of ""Volkswagen"" so the Americans could understand what he was saying. 😧😒😓",6.492321462725468e+17,2781.0,0.0
9,2015-09-30 14:41:02,1.0,0.0,0.0,thissadiemarie,1.2 UK cars possibly being recalled I bet the other car company are rubbing their hands together with glee!!! #Volkswagen #VolkswagenScandal,6.492324901509202e+17,742.0,0.0
10,2015-09-30 14:42:24,0.0,0.0,0.0,HOLLISESTES,Volkswagen braces for hit to business from emissions scandal: BERLIN (Reuters) - Volkswagen has imposed a hiring freeze at its financ...,6.492328360802345e+17,168.0,0.0
11,2015-09-30 14:43:14,0.0,0.0,0.0,dailyEEUU,Volkswagen braces for hit to business from emissions scandal http://t.co/lSk9OeNe2E #business,6.492330447845499e+17,10807.0,0.0
12,2015-09-30 14:42:12,0.0,0.0,0.0,TheBrandAuth,Volkswagen Hurts its Brand Image http://t.co/A7UswiFo6q #branding,6.492327856143319e+17,1029.0,0.0
13,2015-09-30 14:42:07,0.0,0.0,0.0,biz_buzz,#business Volkswagen braces for hit to business from emissions scandal http://t.co/94Gv3FYXAP,6.492327642191667e+17,2756.0,0.0
14,2015-09-30 14:41:45,1.0,0.0,1.0,AmericanSciBlog,"We're sure @STS_News knew this already, but it's not just Volkswagen http://t.co/wblXq3EgIu",6.492326723640402e+17,413.0,0.0
15,2015-09-30 14:43:25,0.0,0.0,0.0,alterlender,Volkswagen emissions scandal: what happens next for cars affected in UK?: VW is to recall 1.2m UK vehicles fit... http://t.co/1IRIbsnINt,6.49233089449726e+17,705.0,0.0
16,2015-09-30 14:42:18,0.0,0.0,0.0,choonsikyoo,Volkswagen braces for hit to business from emissions scandal http://t.co/uOEFufybU1 - Reuters,6.492328090730742e+17,2143.0,1.0
17,2015-09-30 14:39:46,0.0,0.0,0.0,bug_less,Volkswagen and Cheating Software http://t.co/UmxNlOUjcP,6.492321720423219e+17,1503.0,0.0
18,2015-09-30 14:43:26,0.0,0.0,0.0,TempleRock,The Guardian Money: Volkswagen emissions scandal: what happens next for cars affected in UK?: VW is to recall ... http://t.co/MU8g0Af7Hk,6.49233092469633e+17,39.0,0.0
19,2015-09-30 14:41:56,17.0,0.0,13.0,SuB8u,"More tech, not less is key to preventing Volkswagen-style incidents writes @fmanjoo. Good read
http://t.co/yJZOC05c59 http://t.co/hjbOAqLsu6",6.492327167943025e+17,18137.0,1.0
20,2015-09-30 14:40:42,0.0,0.0,0.0,whyteuk,Wait so.. Volkswagen cars detected when they were being emissions tested and went into a low emission mode? Wow!! Sneaky buggers!,6.492324082277827e+17,6405.0,0.0
21,2015-09-30 14:42:24,0.0,0.0,0.0,redzoneemb,#Business by Reuters Volkswagen braces for hit to business from emissions scandal: BERLIN (Reu... http://t.co/IbcGqAy8SK #marketing #seo,6.492328345954181e+17,1331.0,0.0
22,2015-09-30 14:42:59,0.0,0.0,0.0,UserMalicious,Volkswagen and Cheating Software http://t.co/KP7J60VOOu,6.492329800161649e+17,24.0,0.0
23,2015-09-30 14:41:49,0.0,0.0,0.0,witacausa,"Introduction to Volkswagen diesel misery: driver training class, 1982 http://t.co/C7rK2LvSQX",6.49232689179009e+17,221.0,0.0
24,2015-09-30 14:40:29,0.0,0.0,0.0,miggeFIN,@vergecars @jyrkikasvi #Volkswagen fume filter?,6.492323519150244e+17,73.0,0.0
25,2015-09-30 14:41:29,0.0,0.0,0.0,AdrianoMascarel,"VOLKSWAGEN New Beetle 1.9 TDI 105CV Cabrio Lim. Red Edt.
12.950 € 
http://t.co/T0EAnQreLP
#volkswagen #newbeetle",6.492326023358751e+17,19.0,0.0
